index,instruction,input,expected_answer,model_response,generation_time,dataset,task_type
16319,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"Let n~ be defined for all positive integers n as the remainder when (n - 1)! is divided by n.
What is the value of 34~ ?

Choices:
A. 6
B. 1
C. 2
D. 0
E. 31",0,"Reasoning:
34~ = 33! / 34 = 33! / (34 - 1) * 33! / (34 - 2) * 33! / (34 - 3) *... * 33! / (34 - 33) * 33! / (34 - 32) * 33! / (34 - 31) * 33! / (34 - 30) * 33! / (34 - 29) * 33! / (34 - 28) * 33! / (34 - 27) * 33! / (34 - 26) * 33! / (34 - 25) * 33! / (34 - 24) * 33! / (34 - 23) * 33! / (34 - 22) * 33! / (34 - 21) * 33! / (34 - 20) * 33! / (34 - 19) * 33! / (34 - 18) * 33! / (34 - 17) * 33! / (34 - 16) * 33! / (34 - 15) * 33! / (34 - 14) * 33! / (34 - 13) * 33! / (34 - 12) * 33! / (34 - 11) * 33! / (34 - 10) * 33! / (34 - 9) * 33! / (34 - 8) * 33! / (34 - 7) * 33! / (34 - 6) * 33! / (34 - 5) * 33! / (34 - 4) * 33! / (34 - 3) * 33! / (34 - 2) * 33! / (34 - 1) * 33! / (34 - 0) = 1
Answer: B

Final Answer:
1",37.61654806137085,AQUA-RAT,math_reasoning
6404,Solve the following math reasoning problem step by step.,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"Reasoning:
Today, Julie read 12 x 2 = <<12*2=24>>24 pages.
So, she has read 12 + 24 = <<12+24=36>>36 pages.
Therefore, she has 120 - 36 = <<120-36=84>>84 pages left to read.
Thus, she should read 84/2 = <<84/2=42>>42 pages tomorrow.

Final Answer:
42",8.145174026489258,gsm8k,math_reasoning
9897,Solve the following math reasoning problem step by step.,"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?",50,"Reasoning:
Diane bought 20 + 15 = <<20+15=35>>35 apples.
So, they bought 35 + 15 = <<35+15=50>>50 apples altogether.

Final Answer:
50",4.258057832717896,gsm8k,math_reasoning
20065,Read the question and supporting facts carefully. Reason about the information and answer with Yes or No.,Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?,No,"Reasoning:
The T-Mobile Tuesdays app is a free app that offers free T-Mobile customers a free taco from Taco Bell on Tuesdays. The app is only available to T-Mobile customers.

Final Answer:
No",3.858550548553467,StrategyQA,commonsense_reasoning
17935,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"Can you please walk me through how to best approach this problem? Thanks
If #p# = ap^3+ bp – 1 where a and b are constants, and #-3# = 2, what is the value of #3#?

Choices:
A. -4
B. 0
C. -2
D. -3
E. -5",-4,"Reasoning:
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p# = ap^3+ bp – 1
#p",44.94864821434021,AQUA-RAT,math_reasoning
10430,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"If A^2 + B^2 = 30 and AB = 10, what is the value of the expression (A - B)^2 + (A + B)^2?

Choices:
A. 10
B. 20
C. 30
D. 60
E. 70",60,"Reasoning:
(A - B)^2 + (A + B)^2 = A^2 - 2AB + B^2 + A^2 + 2AB + B^2 = 2(A^2 + B^2) = 2(30) = 60
The answer is D.

Final Answer:
60",6.091581106185913,AQUA-RAT,math_reasoning
20086,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"The banker's discount on Rs. 1600 at 15% per annum is the same as true discount on Rs. 1680 for the same time and at the same rate. The time is:

Choices:
A. 1 months
B. 4 months
C. 7 months
D. 9 months
E. 4 months",4 months,"Reasoning:
Explanation:
Let the time be x months.
Then, B.D. = T.D. = Rs. (1600 * 15 * x) / 100 = Rs. (1680 * x) / 100
=> 1600 * 15 * x = 1680 * x
=> 1600 * 15 = 1680
=> 15x = 1680/1600 * 15
=> x = 9/4 = 2 1/4 months.
Answer: D

Final Answer:
9 months",10.381736755371094,AQUA-RAT,math_reasoning
22988,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"In a regular week, there are 5 working days and for each day, the working hours are 8. A man gets Rs. 2.40 per hour for regular work and Rs. 3.20 per hours for overtime. If he earns Rs. 432 in 4 weeks, then how many hours does he work for ?

Choices:
A. 160
B. 175
C. 190
D. 200
E. 210",175,"Reasoning:
Explanation:
Let the number of hours worked for regular work be x.
Then, 5x * 8 + (x - 5) * 8 = 432
=> 40x = 432
=> x = 10.8
=> Total hours worked = 10.8 + 5 = 15.8
Answer: Option A

Final Answer:
160",7.3114378452301025,AQUA-RAT,math_reasoning
8137,Read the question and supporting facts carefully. Reason about the information and answer with Yes or No.,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Yes,"Reasoning:
The Stanley Cup Finals are the championship series of the National Hockey League. The Stanley Cup Finals are played in a best-of-seven series. The Stanley Cup Finals are played in a neutral location. Rock in Rio is a music festival held in Rio de Janeiro, Brazil. The Stanley Cup Finals are played in a hockey arena. Rock in Rio is held in a large outdoor stadium.

Final Answer:
Yes",7.128874778747559,StrategyQA,commonsense_reasoning
27275,Solve the following multiple-choice math reasoning problem. Show your reasoning before giving the final answer.,"If X is invested in a bank at a rate of simple interest of y% p.a. for two years, then the interest earned is 600. if X is invested at y% p.a., for two years when the interest is compounded annually, the interest is 615. What is the value of X?

Choices:
A. 8000
B. 6000
C. 5000
D. 4000
E. 3000",6000,"Reasoning:
Let the principal be x.
Interest for 2 years at simple interest = 600
x*2*y/100 = 600
x*y = 3000........(1)
Interest for 2 years at compound interest = 615
x*(y/100)^2 = 615
x*y^2/10000 = 615
x*y^2 = 61500........(2)
Dividing (2) by (1), we get
y = 20
Putting y = 20 in (1), we get
x*20 = 3000
x = 150
Answer: B

Final Answer:
6000",12.09308099746704,AQUA-RAT,math_reasoning
12035,Solve the following math reasoning problem step by step.,"Terez has 44 cows on his farm.  50 percent of the cows are female, and 50 percent of the females are pregnant.  How many pregnant female cows does Terez have?",11,"Reasoning:
First find the number of female cows: 44 cows / 2 = <<44/2=22>>22 cows
Then find the number of pregnant cows: 22 cows / 2 = <<22/2=11>>11 cows

Final Answer:
11",5.036109447479248,gsm8k,math_reasoning
8241,Solve the following math reasoning problem step by step.,Sue borrowed 15 books and 6 movies. She returned 8 books. She then returned a third of the movies to the library and checked out 9 more books. How many movies and books does Sue now have?,20,"Reasoning:
Sue returned 15 - 8 = <<15-8=7>>7 books.
She returned 6 / 3 = <<6/3=2>>2 movies.
Sue now has 7 + 9 = <<7+9=16>>16 books.
Sue now has 6 - 2 = <<6-2=4>>4 movies.
Sue now has 16 + 4 = <<16+4=20>>20 items.

Final Answer:
20",9.28974199295044,gsm8k,math_reasoning
